Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,DWS,DBPM,DRtg,-9999
22,Andrew Bynum,23,LAL,0.0,3.0,600,0.005,54,27.8,11.3,9.4,1.4,0.4,2.0,.574,,.660,6.6,.210,2.8,1.4,100,bynuman01
23T,Kenyon Martin,33,DEN,0.0,2.0,600,0.003,48,25.7,8.6,6.2,2.3,0.9,0.7,.511,.222,.583,2.7,.104,1.6,1.7,105,martike01
23T,Gerald Wallace,28,TOT,0.0,2.0,600,0.003,71,37.9,15.7,8.0,2.4,1.5,0.9,.454,.333,.746,6.2,.111,3.6,1.1,105,wallage01
25,Josh Smith,25,ATL,0.0,1.0,600,0.002,77,34.4,16.5,8.5,3.3,1.3,1.6,.477,.331,.725,6.4,.116,4.5,1.7,102,smithjo03
1,Dwight Howard,24,ORL,110.0,576.0,610,0.944,82,34.7,18.3,13.2,1.8,0.9,2.8,.612,.000,.592,13.2,.223,7.1,2.8,95,howardw01
2,Josh Smith,24,ATL,3.0,136.0,610,0.223,81,35.4,15.7,8.7,4.2,1.6,2.1,.505,.000,.618,9.3,.155,5.1,2.7,101,smithjo03
3,Gerald Wallace,27,CHA,1.0,113.0,610,0.185,76,41.0,18.2,10.0,2.1,1.5,1.1,.484,.371,.776,11.5,.177,6.2,1.7,100,wallage01
4,LeBron James,25,CLE,4.0,61.0,610,0.100,76,39.0,29.7,7.3,8.6,1.6,1.0,.503,.333,.767,18.5,.299,5.2,2.8,102,jamesle01
5,Rajon Rondo,23,BOS,1.0,55.0,610,0.090,81,36.6,13.7,4.4,9.8,2.3,0.1,.508,.213,.621,9.6,.156,4.7,1.4,103,rondora01
6,Metta World Peace,30,LAL,0.0,29.0,610,0.048,77,33.8,11.0,4.3,3.0,1.4,0.3,.414,.355,.688,5.3,.098,3.5,1.1,105,artesro01
7,Andrew Bogut,25,MIL,1.0,23.0,610,0.038,69,32.3,15.9,10.2,1.8,0.6,2.5,.520,.000,.629,7.5,.161,4.8,2.2,98,bogutan01
8,Thabo Sefolosha,25,OKC,2.0,20.0,610,0.033,82,28.6,6.0,4.7,1.8,1.2,0.6,.440,.313,.674,4.0,.082,3.4,2.0,104,sefolth01
9,Anderson Varejão,27,CLE,0.0,18.0,610,0.030,76,28.5,8.6,7.6,1.1,0.9,0.9,.572,.200,.663,8.1,.179,3.8,1.2,102,varejan01
10T,Marcus Camby,35,TOT,0.0,13.0,610,0.021,74,31.3,7.5,11.8,2.5,1.3,2.0,.475,.286,.639,6.8,.142,4.3,2.6,101,cambyma01
10T,Dwyane Wade,28,MIA,0.0,13.0,610,0.021,77,36.3,26.6,4.8,6.5,1.8,1.1,.476,.300,.761,13.0,.224,4.6,2.1,103,wadedw01
12,Kobe Bryant,31,LAL,0.0,9.0,610,0.015,73,38.8,27.0,5.4,5.0,1.5,0.3,.456,.329,.811,9.4,.160,4.0,0.2,104,bryanko01
13,Shawn Marion,31,DAL,0.0,8.0,610,0.013,75,31.8,12.0,6.4,1.4,0.9,0.8,.508,.158,.755,5.0,.100,2.8,0.1,106,mariosh01
14,Tim Duncan,33,SAS,0.0,7.0,610,0.011,78,31.3,17.9,10.1,3.2,0.6,1.5,.518,.182,.725,10.9,.215,4.5,1.8,101,duncati01
15,Shane Battier,31,HOU,0.0,5.0,610,0.008,67,32.4,8.0,4.7,2.4,0.8,1.1,.398,.362,.726,4.3,.095,2.1,1.4,108,battish01
16,Andrei Kirilenko,28,UTA,0.0,4.0,610,0.007,58,29.0,11.9,4.6,2.7,1.4,1.2,.506,.292,.744,6.0,.171,2.7,2.4,103,kirilan01
17T,Arron Afflalo,24,DEN,0.0,1.0,610,0.002,82,27.1,8.8,3.1,1.7,0.6,0.4,.465,.434,.735,4.3,.092,1.4,-0.2,111,afflaar01
17T,Matt Barnes,29,ORL,0.0,1.0,610,0.002,81,25.9,8.8,5.5,1.7,0.7,0.4,.487,.319,.740,5.9,.135,3.4,1.3,103,barnema02
17T,Brendan Haywood,30,TOT,0.0,1.0,610,0.002,77,30.6,9.1,9.3,0.6,0.3,2.1,.562,.000,.620,6.7,.137,3.0,0.2,106,haywobr01
17T,David Lee,26,NYK,0.0,1.0,610,0.002,81,37.3,20.2,11.7,3.6,1.0,0.5,.545,.000,.812,10.3,.163,2.9,0.0,108,leeda02
17T,Kenyon Martin,32,DEN,0.0,1.0,610,0.002,58,34.2,11.5,9.4,1.9,1.2,1.1,.456,.276,.557,3.3,.079,2.8,0.5,104,martike01
17T,Luc Mbah a Moute,23,MIL,0.0,1.0,610,0.002,73,25.6,6.2,5.5,1.1,0.8,0.5,.480,.353,.699,4.7,.122,3.0,1.5,103,mbahalu01
17T,Kendrick Perkins,25,BOS,0.0,1.0,610,0.002,78,27.6,10.1,7.6,1.0,0.3,1.7,.602,.000,.582,5.2,.117,3.8,1.0,101,perkike01
17T,Ben Wallace,35,DET,0.0,1.0,610,0.002,69,28.6,5.5,8.7,1.5,1.2,1.2,.541,.000,.406,4.7,.115,2.3,1.2,106,wallabe01
1,Dwight Howard,23,ORL,105.0,542.0,595,0.911,79,35.7,20.6,13.8,1.4,1.0,2.9,.572,.000,.594,13.8,.234,7.6,2.4,95,howardw01
2,LeBron James,24,CLE,4.0,148.0,595,0.249,81,37.7,28.4,7.6,7.2,1.7,1.1,.489,.344,.780,20.3,.318,6.5,3.7,99,jamesle01
3,Dwyane Wade,27,MIA,3.0,90.0,595,0.151,79,38.6,30.2,5.0,7.5,2.2,1.3,.491,.317,.765,14.7,.232,4.4,2.4,105,wadedw01
4,Shane Battier,30,HOU,2.0,71.0,595,0.119,60,33.9,7.3,4.8,2.3,0.8,0.9,.410,.384,.821,5.2,.123,2.9,1.9,105,battish01
5,Metta World Peace,29,HOU,1.0,54.0,595,0.091,69,35.5,17.1,5.2,3.3,1.5,0.3,.401,.399,.748,5.5,.108,4.0,1.2,103,artesro01
6,Chris Paul,23,NOH,1.0,49.0,595,0.082,78,38.5,22.8,5.5,11.0,2.8,0.1,.503,.364,.868,18.3,.292,5.0,3.8,103,paulch01
7,Kobe Bryant,30,LAL,2.0,43.0,595,0.072,82,36.1,26.8,5.2,4.9,1.5,0.5,.467,.351,.856,12.7,.206,4.0,0.3,106,bryanko01
8,Kevin Garnett,32,BOS,1.0,31.0,595,0.052,57,31.1,15.8,8.5,2.5,1.1,1.2,.531,.250,.841,7.1,.193,4.1,3.0,98,garneke01
9,Chris Andersen,30,DEN,0.0,10.0,595,0.017,71,20.6,6.4,6.2,0.4,0.6,2.5,.548,.200,.718,5.4,.176,2.8,2.4,101,anderch01
10,Rajon Rondo,22,BOS,0.0,8.0,595,0.013,80,33.0,11.9,5.2,8.2,1.9,0.1,.505,.313,.642,9.9,.179,5.1,2.1,101,rondora01
11,Tim Duncan,32,SAS,0.0,7.0,595,0.012,75,33.7,19.3,10.7,3.5,0.5,1.7,.504,.000,.692,10.1,.191,5.0,2.0,100,duncati01
12,Raja Bell,32,TOT,0.0,4.0,595,0.007,67,34.6,11.9,3.6,2.1,0.7,0.1,.437,.421,.853,3.6,.074,1.6,-0.4,111,bellra01
13T,Andre Iguodala,25,PHI,0.0,3.0,595,0.005,82,39.9,18.8,5.7,5.3,1.6,0.4,.473,.307,.724,9.2,.134,3.5,0.6,108,iguodan01
13T,Anderson Varejão,26,CLE,0.0,3.0,595,0.005,81,28.5,8.6,7.2,1.0,0.9,0.8,.536,.000,.616,8.0,.166,4.7,1.6,100,varejan01
15,Ronny Turiaf,26,GSW,0.0,2.0,595,0.003,79,21.5,5.9,4.6,2.1,0.4,2.1,.508,.000,.790,3.6,.101,1.4,2.3,110,turiaro01
16T,Trevor Ariza,23,LAL,0.0,1.0,595,0.002,82,24.4,8.9,4.3,1.8,1.7,0.3,.460,.319,.710,6.1,.146,3.5,2.2,102,arizatr01
16T,Marcus Camby,34,LAC,0.0,1.0,595,0.002,62,31.0,10.3,11.1,2.0,0.8,2.1,.512,.250,.725,5.2,.129,2.9,1.8,104,cambyma01
16T,Grant Hill,36,PHO,0.0,1.0,595,0.002,82,29.8,12.0,4.9,2.3,1.1,0.7,.523,.316,.808,5.3,.104,1.9,0.4,111,hillgr01
16T,Joel Przybilla,29,POR,0.0,1.0,595,0.002,82,23.8,5.5,8.7,0.3,0.4,1.2,.625,.000,.663,6.6,.163,3.4,1.2,102,przybjo01
16T,Josh Smith,23,ATL,0.0,1.0,595,0.002,69,35.1,15.6,7.2,2.4,1.4,1.6,.492,.299,.588,4.9,.097,3.6,1.4,104,smithjo03
16T,Hedo Türkoğlu,29,ORL,0.0,1.0,595,0.002,77,36.6,16.8,5.3,4.9,0.8,0.2,.413,.356,.807,7.3,.125,4.4,0.7,104,turkohe01
1,Kevin Garnett,31,BOS,90.0,493.0,620,0.795,71,32.8,18.8,9.2,3.4,1.4,1.3,.539,.000,.801,12.9,.265,6.2,3.5,94,garneke01
2,Marcus Camby,33,DEN,12.0,178.0,620,0.287,79,34.9,9.1,13.1,3.3,1.1,3.6,.450,.300,.708,8.5,.148,5.9,3.3,98,cambyma01
3,Shane Battier,29,HOU,11.0,175.0,620,0.282,80,36.3,9.3,5.1,1.9,1.0,1.1,.428,.377,.743,8.2,.135,4.6,1.9,103,battish01
4,Bruce Bowen,36,SAS,7.0,80.0,620,0.129,81,30.2,6.0,2.9,1.1,0.7,0.3,.407,.419,.652,4.4,.085,3.4,1.5,105,bowenbr01
5,Kobe Bryant,29,LAL,0.0,40.0,620,0.065,82,38.9,28.3,6.3,5.4,1.8,0.5,.459,.361,.840,13.8,.208,4.3,0.6,105,bryanko01
6,Josh Smith,22,ATL,1.0,34.0,620,0.055,81,35.5,17.2,8.2,3.4,1.5,2.8,.457,.253,.710,5.8,.097,4.6,2.5,103,smithjo03
7T,Dwight Howard,22,ORL,1.0,24.0,620,0.039,82,37.7,20.7,14.2,1.3,0.9,2.1,.599,.000,.590,12.9,.200,6.4,1.2,99,howardw01
7T,Chris Paul,22,NOH,1.0,24.0,620,0.039,80,37.6,21.1,4.0,11.6,2.7,0.1,.488,.369,.851,17.8,.284,4.6,3.2,103,paulch01
9,Tim Duncan,31,SAS,0.0,22.0,620,0.035,78,34.0,19.3,11.3,2.8,0.7,1.9,.497,.000,.730,11.1,.201,6.2,2.2,97,duncati01
10,Tayshaun Prince,27,DET,0.0,13.0,620,0.021,82,32.9,13.2,4.9,3.3,0.5,0.4,.448,.363,.768,7.5,.133,3.2,-0.1,106,princta01
11,Tyson Chandler,25,NOH,1.0,10.0,620,0.016,79,35.2,11.8,11.7,1.0,0.6,1.1,.623,.000,.593,10.0,.172,4.1,-0.2,104,chandty01
12,Rasheed Wallace,33,DET,0.0,9.0,620,0.015,77,30.5,12.7,6.6,1.8,1.2,1.7,.432,.356,.767,7.6,.155,5.1,2.6,98,wallara01
13T,Raja Bell,31,PHO,0.0,3.0,620,0.005,75,35.3,11.9,3.7,2.2,0.7,0.4,.421,.401,.868,4.5,.082,1.5,-0.5,111,bellra01
13T,Samuel Dalembert,26,PHI,0.0,3.0,620,0.005,82,33.2,10.5,10.4,0.5,0.5,2.3,.513,.000,.707,6.9,.121,4.3,0.5,103,dalemsa01
13T,Richard Hamilton,29,DET,0.0,3.0,620,0.005,72,33.7,17.3,3.3,4.2,1.0,0.1,.484,.440,.833,7.7,.152,2.9,0.1,106,hamilri01
16T,Chauncey Billups,31,DET,0.0,1.0,620,0.002,78,32.3,17.0,2.7,6.8,1.3,0.2,.448,.401,.918,13.5,.257,3.4,1.2,105,billuch01
16T,Andrei Kirilenko,26,UTA,0.0,1.0,620,0.002,72,30.8,11.0,4.7,4.0,1.2,1.5,.506,.379,.770,7.1,.154,2.8,2.0,105,kirilan01
